,Simple Random,Bernoulli,Systematic,Stratified
10,"NOT REACHED. F1 mean: 84.3. F1 CI [81.6, 86.9]","REACHED. F1 mean: 90.0. F1 CI [86.6, 93.5]","NOT REACHED. F1 mean: 85.8. F1 CI [82.7, 89.0]",
16,"REACHED. F1 mean: 92.7. F1 CI [90.6, 94.9]","REACHED. F1 mean: 90.7. F1 CI [88.2, 93.3]","REACHED. F1 mean: 95.0. F1 CI [93.4, 96.5]","REACHED. F1 mean: 98.8. F1 CI [98.1, 99.5]"
22,"REACHED. F1 mean: 96.4. F1 CI [94.9, 97.8]","REACHED. F1 mean: 96.8. F1 CI [95.5, 98.2]","REACHED. F1 mean: 97.6. F1 CI [96.9, 98.2]","REACHED. F1 mean: 98.6. F1 CI [98.1, 99.2]"
28,"REACHED. F1 mean: 98.8. F1 CI [98.0, 99.6]","REACHED. F1 mean: 98.0. F1 CI [96.9, 99.0]","REACHED. F1 mean: 99.9. F1 CI [99.9, 100.0]","REACHED. F1 mean: 99.3. F1 CI [98.9, 99.7]"
34,"REACHED. F1 mean: 99.2. F1 CI [98.7, 99.7]","REACHED. F1 mean: 98.9. F1 CI [98.2, 99.7]","REACHED. F1 mean: 99.2. F1 CI [98.9, 99.5]","REACHED. F1 mean: 99.8. F1 CI [99.7, 99.9]"
40,"REACHED. F1 mean: 99.7. F1 CI [99.4, 100.0]","REACHED. F1 mean: 99.7. F1 CI [99.4, 100.1]","REACHED. F1 mean: 99.5. F1 CI [99.2, 99.7]","REACHED. F1 mean: 99.8. F1 CI [99.7, 100.0]"
46,"REACHED. F1 mean: 99.9. F1 CI [99.8, 100.0]","REACHED. F1 mean: 99.7. F1 CI [99.5, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 99.9. F1 CI [99.8, 100.0]"
52,"REACHED. F1 mean: 100.0. F1 CI [99.9, 100.0]","REACHED. F1 mean: 99.8. F1 CI [99.5, 100.1]","REACHED. F1 mean: 99.8. F1 CI [99.7, 99.9]","REACHED. F1 mean: 100.0. F1 CI [99.9, 100.0]"
59,"REACHED. F1 mean: 99.9. F1 CI [99.9, 100.0]","REACHED. F1 mean: 99.8. F1 CI [99.6, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [99.9, 100.0]"
65,"REACHED. F1 mean: 100.0. F1 CI [99.9, 100.0]","REACHED. F1 mean: 100.0. F1 CI [99.9, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]"
